FIRE_ID,FIRE_NAME,YEAR,ACRES
FL2845808085120130112,FLORA VISTA,2013,889.0
FL2929308118020130302,DURRANCE FIRE,2013,1245.0
FL2818808080420130316,OPENING DAY FIRE,2013,702.0
FL2810908116820130326,WAGON WHEEL FIRE,2013,875.0
FL2846408065320130401,CENTER,2013,2237.0
FL2867508073220130512,MAY DAY,2013,1430.0
WA4606511698720130608,MAIL TRAIL,2013,2645.0
KS3914109677420131117,IMPACT COMPLEX,2013,5233.0
WA4604511708320130829,GRANDE RONDE,2013,1342.0
KS3918809673920131110,UNNAMED,2013,7465.0
FL2636608070120130513,HOLEY LAND 1 FIRE,2013,7821.0
FL2610108128120130312,HUCKABEE,2013,19723.0
ND4588110254820130403,PAUTRE,2013,11733.0
NC3472807702520130329,WOODPECKER FIRE,2013,2015.0
OR4237611972920130916,RIFFLE,2013,1087.0
FL2857008259320130329,SOUTH ROAD FIRE,2013,1045.0
WV3888307928320131110,SMOKE HOLE FIRE,2013,1436.0
FL2858008245420130527,CEMENT,2013,654.0
OR4380411811620130630,CURRY CANYON,2013,2630.0
OR4332911796620130610,CROWLEY CREEK,2013,13312.0
OR4328611798320130610,STOCKADE,2013,6930.0
ID4303611492420130703,BRAY LAKE,2013,2461.0
WV3796508247320130406,WAYNE-S2013-108,2013,1097.0
ID4282711470820130701,HWY46 MM103,2013,1955.0
KY3751908392720130403,WIND CAVE,2013,622.0
OR4380111810220130731,STEMLER RIDGE,2013,3106.0
ID4304611403620130701,JIM BROWN,2013,14710.0
OR4311811880120130812,LAVA,2013,6822.0
ID4299711423520130721,BROWN BUTTE,2013,7488.0
OR4275011847620130808,HOUSE CREEK,2013,2802.0
OR4351211831720130824,OLYMPUS,2013,3348.0
ID4298711401020130731,BLACK RIDGE,2013,1526.0
ID4270211406820130731,CINDER ROAD,2013,4478.0
MS3111308914320130325,SHEPARDS TRAIL,2013,2327.0
OR4296111781820130702,SAND SPRINGS,2013,2165.0
OR4325611768420130808,CEDAR MOUNTAIN,2013,23836.0
TN3586208313020131104,HALLS TOP,2013,702.0
TN3658608406520130512,HWY 25 - HIGH CLIFF,2013,506.0
AR3333509185320130914,FOUNTAIN HILL,2013,655.0
AR3337009208720130917,SINGLETON CREEK,2013,1124.0
WI4627409167120130514,GERMANN ROAD FIRE,2013,6751.0
WI4586009263320131001,CRANBERRY FIRE,2013,779.0
ID4275411432420130801,SOUTHEAST RED BRIDGE,2013,8640.0
LA2985009350920130905,LEONARD,2013,7235.0
NV4108911799220130701,CRESCENT DUNE,2013,36771.0
OR4239411714320130807,SHARON CREEK,2013,10576.0
TX2884109573020130215,SARGENT RANCH,2013,1395.0
ID4292511421220130822,DIETRICH BUTTE,2013,1152.0
TX2962509426120131024,WF UNIT 12 KICKOFF,2013,4302.0
ID4308711468320130911,HWY46 MM123,2013,3203.0
TX2963009419420130824,UNIT 1 2013,2013,1355.0
MN4812109553220130513,BUFFALO RANCH FIRE,2013,2892.0
OR4271811775920130701,CROOKED CREEK,2013,4631.0
OR4293711764020130701,PASCAL,2013,3013.0
OR4361211717120130701,OWYHEE,2013,48001.0
OK3463909563620130218,VIVIAN CEMETERY,2013,3171.0
OK3479809517320130308,BIG HIGH TOP,2013,1240.0
OK3511309497820130327,MCCURTAIN 3722,2013,1171.0
ID4238111461920130629,WEST HOLLISTER,2013,3073.0
OK3638809626920130317,HANEY,2013,1306.0
ID4236411513020130731,COONSKIN,2013,4388.0
OK3389109699920130303,ROCKY POINT,2013,3165.0
OR4265911735820130807,GRASSY MOUNTAIN,2013,15454.0
OR4254611719320130807,LONE TREE,2013,1543.0
ID4250611694020130813,JUNI,2013,2454.0
WA4652112025720130607,DESMARAIS,2013,9120.0
WA4611812034420130811,JOJO FIRE,2013,4238.0
WA4732812014720130809,MILEPOST 10,2013,7051.0
WA4603312001420130910,DEAD CANYON,2013,4123.0
WA4801012024820130704,25 MILE,2013,2136.0
ID4315411662120130716,SUNK,2013,2272.0
ID4287511688620130729,BONJOUR,2013,1231.0
MT4538010785920130108,WINTER,2013,2877.0
PR1813806532520130326,PUERTO NEGRO,2013,631.0
NV4075811799020130702,DUN GLEN,2013,1968.0
NV3992012001620130701,RED ROCK,2013,5487.0
ID4450111717720130829,HELLS CANYON,2013,8972.0
ID4234911551120130612,BRUNEAU,2013,4937.0
ID4242311555520130727,SHEEPSHEAD,2013,2247.0
AZ3302711459320130519,ISLAND LAKE,2013,2021.0
WA4833111962320130715,B and O,2013,1713.0
OR4554912089520130601,GORDON BUTTE,2013,4226.0
TX2956409435020130730,WF CADE MUD BAYOU,2013,2129.0
FL2992508494720130129,BUCK #1,2013,1187.0
FL3083208681920130329,CHARLIE FOSTER ROAD FIRE,2013,923.0
FL3045008681920130305,LOW KEY,2013,5554.0
NC3502007703020130329,UNNAMED,2013,684.0
ID4460411708620130829,RAFT,2013,20722.0
TX3128209392520130324,UNNAMED,2013,1490.0
TX3138309512520130227,UNNAMED,2013,1810.0
TX3127409526520130422,UNNAMED,2013,1619.0
TX3110409429920130315,UNNAMED,2013,2043.0
GA3340808361520130314,UNNAMED,2013,812.0
VA3810607881420130410,JARMAN GAP BROADCAST,2013,559.0
TX3051009576020130422,UNNAMED,2013,3489.0
GA3321308371220130410,UNNAMED,2013,2077.0
SC3375008215020130310,UNNAMED,2013,905.0
SC3385008212020130409,UNNAMED,2013,2654.0
GA3324308350920130205,UNNAMED,2013,1027.0
GA3318008373520130215,UNNAMED,2013,1949.0
GA3314508354720130315,UNNAMED,2013,1116.0
TX3055009561020130408,UNNAMED,2013,5033.0
TX3123009392920130320,UNNAMED,2013,4754.0
TX3106809424120130510,UNNAMED,2013,3429.0
TX3051009576020130228,UNNAMED,2013,1315.0
SC3315007988320130424,UNNAMED,2013,1135.0
SC3318307981620130205,UNNAMED,2013,1178.0
SC3315007981620130202,UNNAMED,2013,967.0
TX3055009572020130315,UNNAMED,2013,4218.0
OR4473511854320130812,VINEGAR,2013,1448.0
OR4448711902320130807,GROUSE MOUNTAIN,2013,12361.0
TX3134909422820130315,UNNAMED,2013,1183.0
TX3107109416720130510,UNNAMED,2013,3191.0
FL3016208474220130112,BURN UNIT 51,2013,2390.0
TX3113809435620130510,UNNAMED,2013,2851.0
FL3019608464420130228,BURN UNIT 312,2013,1496.0
FL3023408464920130307,BURN UNIT 310,2013,4826.0
TX3117109434420130421,UNNAMED,2013,1859.0
TX3123809423020130415,UNNAMED,2013,3919.0
FL3024108457020130426,UNNAMED,2013,2665.0
FL3033708435220130514,UNNAMED,2013,1162.0
FL3028408456720130427,BURN UNIT 244,2013,4767.0
FL3041308449120131024,UNNAMED,2013,3021.0
FL3038408451620131025,UNNAMED,2013,1838.0
FL3027208471420130912,UNNAMED,2013,865.0
FL3037508461220130913,UNNAMED,2013,1840.0
FL3031708451620131106,UNNAMED,2013,1807.0
LA3137809312320130123,UNNAMED,2013,933.0
LA3212909287120130123,UNNAMED,2013,1312.0
LA3104009313020130125,UNNAMED,2013,5044.0
FL3038708445420130301,BURN UNIT 216,2013,2601.0
FL3038008442320130308,BURN UNIT 217,2013,4043.0
FL3031108441720130322,UNNAMED,2013,2100.0
LA3143809320520130126,UNNAMED,2013,1426.0
FL3019708471620130328,UNNAMED,2013,1576.0
FL3031808437320130328,UNNAMED,2013,1974.0
FL3015808469020130329,UNNAMED,2013,1847.0
FL3024508461420130402,UNNAMED,2013,2346.0
FL3018808460320130408,UNNAMED,2013,24574.0
FL3019308489020130424,UNNAMED,2013,1561.0
LA3153909308420130127,UNNAMED,2013,986.0
LA3190609287520130128,UNNAMED,2013,1056.0
FL3009808493420130320,UNNAMED,2013,3592.0
FL3013308495420130401,UNNAMED,2013,4121.0
FL3010508503620130416,UNNAMED,2013,3941.0
FL3007208494520130419,UNNAMED,2013,8012.0
FL3030908481320130507,UNNAMED,2013,3502.0
FL2994708499220130911,UNNAMED,2013,1999.0
LA3199409280920130201,UNNAMED,2013,1254.0
LA3118009255020130201,UNNAMED,2013,2173.0
FL3004208507420130917,UNNAMED,2013,2718.0
LA3188309272720130203,UNNAMED,2013,1770.0
FL3019208497020131028,UNNAMED,2013,2815.0
LA3158109250320130204,UNNAMED,2013,2677.0
LA3173409253220130204,UNNAMED,2013,2523.0
FL3005708497220131204,BURN UNIT 78,2013,4380.0
FL3015008489920131205,UNNAMED,2013,1866.0
FL3013408507420130919,UNNAMED,2013,2660.0
FL3019608493520130920,UNNAMED,2013,1407.0
TX3117709362820130207,UNNAMED,2013,3220.0
LA3122009268020130215,UNNAMED,2013,1092.0
LA3144909313620130216,UNNAMED,2013,1533.0
LA3113009263020130217,UNNAMED,2013,632.0
LA3106009257020130217,UNNAMED,2013,800.0
TX3050009568020130318,UNNAMED,2013,1163.0
LA3155209246920130219,UNNAMED,2013,2161.0
LA3188209283620130220,UNNAMED,2013,2925.0
TX3056809565520130419,UNNAMED,2013,2224.0
LA3118009264020130227,UNNAMED,2013,4777.0
LA3149409299020130228,UNNAMED,2013,1361.0
TX3117909372720130301,UNNAMED,2013,1596.0
LA3125009269020130302,UNNAMED,2013,882.0
MO3690409204620130314,UNNAMED,2013,1380.0
LA3178709289420130303,UNNAMED,2013,1202.0
AL3100708680920130320,UNNAMED,2013,2131.0
AL3100608677920130416,UNNAMED,2013,719.0
TX2911609527220130302,UNNAMED,2013,2070.0
AL3105608678420130203,UNNAMED,2013,5525.0
TX2885009559220130302,UNNAMED,2013,1800.0
AL3103008664820130407,UNNAMED,2013,1372.0
AL3108808665520130121,UNNAMED,2013,1436.0
AL3111008653720130407,UNNAMED,2013,626.0
AL3113808655120130314,UNNAMED,2013,9046.0
AL3111208671220130121,UNNAMED,2013,1490.0
AL3109308667720130122,UNNAMED,2013,1803.0
FL3028808495420130108,BURN UNIT 005,2013,1635.0
LA3182609281520130303,UNNAMED,2013,1831.0
FL3024108496220130110,BURN UNIT 016,2013,2489.0
FL3016908507620130218,BURN UNIT 025,2013,1447.0
FL3024808492220130221,BURN UNIT 17,2013,4878.0
AR3615509444820130421,UNNAMED,2013,559.0
FL3028308492220130307,UNNAMED,2013,3342.0
FL2992408498520130309,BURN UNIT 111,2013,2439.0
FL3018408504920130315,BURN UNIT 026,2013,1379.0
FL3017508504320130215,BURN UNIT 027,2013,2203.0
