City,Date,Max Temperature (F)
Los Angeles,2014-01-01,63.86
Los Angeles,2014-01-02,65.3
Los Angeles,2014-01-03,62.959999999999994
Los Angeles,2014-01-04,60.8
Los Angeles,2014-01-05,57.92
Los Angeles,2014-01-06,62.42
Los Angeles,2014-01-07,61.7
Los Angeles,2014-01-08,60.26
Los Angeles,2014-01-09,63.5
Los Angeles,2014-01-10,64.04
Los Angeles,2014-01-11,70.34
Los Angeles,2014-01-12,75.2
Los Angeles,2014-01-13,74.48
Los Angeles,2014-01-14,73.22
Los Angeles,2014-01-15,76.82
Los Angeles,2014-01-16,79.34
Los Angeles,2014-01-17,77.0
Los Angeles,2014-01-18,71.6
Los Angeles,2014-01-19,77.72
Los Angeles,2014-01-20,82.75999999999999
Los Angeles,2014-01-21,86.9
Los Angeles,2014-01-22,84.2
Los Angeles,2014-01-23,84.91999999999999
Los Angeles,2014-01-24,84.2
Los Angeles,2014-01-25,78.98
Los Angeles,2014-01-26,77.72
Los Angeles,2014-01-27,76.82
Los Angeles,2014-01-28,79.88
Los Angeles,2014-01-29,80.96
Los Angeles,2014-01-30,77.0
Los Angeles,2014-01-31,72.14
Los Angeles,2014-02-01,66.38
Los Angeles,2014-02-02,59.72
Los Angeles,2014-02-03,58.459999999999994
Los Angeles,2014-02-04,61.16
Los Angeles,2014-02-05,63.68
Los Angeles,2014-02-06,66.74000000000001
Los Angeles,2014-02-07,66.92
Los Angeles,2014-02-08,65.12
Los Angeles,2014-02-09,66.2
Los Angeles,2014-02-10,60.08
Los Angeles,2014-02-11,61.88
Los Angeles,2014-02-12,66.02
Los Angeles,2014-02-13,70.16
Los Angeles,2014-02-14,75.92
Los Angeles,2014-02-15,72.32
Los Angeles,2014-02-16,74.66
Los Angeles,2014-02-17,79.34
Los Angeles,2014-02-18,82.75999999999999
Los Angeles,2014-02-19,78.08
Los Angeles,2014-02-20,69.8
Los Angeles,2014-02-21,69.44
Los Angeles,2014-02-22,61.88
Los Angeles,2014-02-23,61.34
Los Angeles,2014-02-24,57.379999999999995
Los Angeles,2014-02-25,57.56
Los Angeles,2014-02-26,61.16
Los Angeles,2014-02-27,61.34
Los Angeles,2014-02-28,60.980000000000004
Los Angeles,2014-03-01,61.519999999999996
Los Angeles,2014-03-02,64.22
Los Angeles,2014-03-03,67.82
Los Angeles,2014-03-04,67.28
Los Angeles,2014-03-05,74.48
Los Angeles,2014-03-06,76.46
Los Angeles,2014-03-07,76.1
Los Angeles,2014-03-08,77.18
Los Angeles,2014-03-09,74.48
Los Angeles,2014-03-10,67.28
Los Angeles,2014-03-11,66.2
Los Angeles,2014-03-12,63.86
Los Angeles,2014-03-13,62.42
Los Angeles,2014-03-14,58.82
Los Angeles,2014-03-15,60.8
Los Angeles,2014-03-16,64.94
Los Angeles,2014-03-17,66.74000000000001
Los Angeles,2014-03-18,68.0
Los Angeles,2014-03-19,69.08
Los Angeles,2014-03-20,69.62
Los Angeles,2014-03-21,68.0
Los Angeles,2014-03-22,73.75999999999999
Los Angeles,2014-03-23,72.68
Los Angeles,2014-03-24,69.25999999999999
Los Angeles,2014-03-25,72.86
Los Angeles,2014-03-26,73.22
Los Angeles,2014-03-27,68.54
Los Angeles,2014-03-28,71.78
Los Angeles,2014-03-29,72.32
Los Angeles,2014-03-30,84.38000000000001
Los Angeles,2014-03-31,87.98
Los Angeles,2014-04-01,89.24
Los Angeles,2014-04-02,85.82
Los Angeles,2014-04-03,86.36
Los Angeles,2014-04-04,84.2
Los Angeles,2014-04-05,73.04
Los Angeles,2014-04-06,74.3
Los Angeles,2014-04-07,73.22
Los Angeles,2014-04-08,69.44
Los Angeles,2014-04-09,65.66
Los Angeles,2014-04-10,62.24
Los Angeles,2014-04-11,64.75999999999999
Los Angeles,2014-04-12,62.24
Los Angeles,2014-04-13,62.24
Los Angeles,2014-04-14,65.12
Los Angeles,2014-04-15,67.28
Los Angeles,2014-04-16,67.64
Los Angeles,2014-04-17,64.04
Los Angeles,2014-04-18,70.7
Los Angeles,2014-04-19,68.18
Los Angeles,2014-04-20,66.2
Los Angeles,2014-04-21,70.16
Los Angeles,2014-04-22,74.48
Los Angeles,2014-04-23,77.0
Los Angeles,2014-04-24,78.44
Los Angeles,2014-04-25,81.5
Los Angeles,2014-04-26,78.25999999999999
Los Angeles,2014-04-27,75.56
Los Angeles,2014-04-28,68.72
Los Angeles,2014-04-29,64.22
Los Angeles,2014-04-30,68.18
Los Angeles,2014-05-01,69.44
Los Angeles,2014-05-02,76.46
Los Angeles,2014-05-03,74.48
Los Angeles,2014-05-04,72.68
Los Angeles,2014-05-05,66.92
Los Angeles,2014-05-06,67.46
Los Angeles,2014-05-07,68.36
Los Angeles,2014-05-08,70.16
Los Angeles,2014-05-09,70.34
Los Angeles,2014-05-10,68.54
Los Angeles,2014-05-11,63.86
Los Angeles,2014-05-12,62.959999999999994
Los Angeles,2014-05-13,67.64
Los Angeles,2014-05-14,70.88
Los Angeles,2014-05-15,71.96
Los Angeles,2014-05-16,87.08000000000001
Los Angeles,2014-05-17,93.2
Los Angeles,2014-05-18,91.94
Los Angeles,2014-05-19,88.34
Los Angeles,2014-05-20,84.74
Los Angeles,2014-05-21,83.48
Los Angeles,2014-05-22,80.06
Los Angeles,2014-05-23,75.38
Los Angeles,2014-05-24,73.04
Los Angeles,2014-05-25,73.04
Los Angeles,2014-05-26,78.98
Los Angeles,2014-05-27,84.56
Los Angeles,2014-05-28,81.14
Los Angeles,2014-05-29,76.82
Los Angeles,2014-05-30,74.12
Los Angeles,2014-05-31,77.18
Los Angeles,2014-06-01,80.42
Los Angeles,2014-06-02,86.53999999999999
Los Angeles,2014-06-03,83.66
Los Angeles,2014-06-04,90.5
Los Angeles,2014-06-05,91.22
Los Angeles,2014-06-06,86.72
Los Angeles,2014-06-07,85.1
Los Angeles,2014-06-08,86.53999999999999
Los Angeles,2014-06-09,89.78
Los Angeles,2014-06-10,87.61999999999999
Los Angeles,2014-06-11,80.42
Los Angeles,2014-06-12,75.2
Los Angeles,2014-06-13,73.75999999999999
Los Angeles,2014-06-14,72.5
Los Angeles,2014-06-15,80.42
Los Angeles,2014-06-16,85.1
Los Angeles,2014-06-17,83.3
Los Angeles,2014-06-18,84.02
Los Angeles,2014-06-19,89.24
Los Angeles,2014-06-20,90.14
Los Angeles,2014-06-21,89.78
Los Angeles,2014-06-22,85.82
Los Angeles,2014-06-23,80.06
Los Angeles,2014-06-24,76.64
Los Angeles,2014-06-25,74.3
Los Angeles,2014-06-26,74.48
Los Angeles,2014-06-27,73.4
Los Angeles,2014-06-28,73.58
Los Angeles,2014-06-29,75.2
Los Angeles,2014-06-30,74.3
Los Angeles,2014-07-01,77.72
Los Angeles,2014-07-02,83.3
Los Angeles,2014-07-03,91.03999999999999
Los Angeles,2014-07-04,92.66
Los Angeles,2014-07-05,90.86
Los Angeles,2014-07-06,88.7
Los Angeles,2014-07-07,90.5
Los Angeles,2014-07-08,92.11999999999999
Los Angeles,2014-07-09,94.46000000000001
Los Angeles,2014-07-10,92.11999999999999
Los Angeles,2014-07-11,87.8
Los Angeles,2014-07-12,89.24
Los Angeles,2014-07-13,91.58000000000001
Los Angeles,2014-07-14,89.78
Los Angeles,2014-07-15,91.76
Los Angeles,2014-07-16,96.44
Los Angeles,2014-07-17,94.28
Los Angeles,2014-07-18,92.3
Los Angeles,2014-07-19,89.24
Los Angeles,2014-07-20,87.98
Los Angeles,2014-07-21,87.8
Los Angeles,2014-07-22,92.84
Los Angeles,2014-07-23,90.14
